,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
3478,21.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Porto Alegre,RS,3.044,4
3479,21.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Porto Alegre,RS,3.081,4
3480,22.0,UNIVERSIDADE PRESBITERIANA MACKENZIE,MACKENZIE,São Paulo,SP,3.802,4
3481,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Novo Hamburgo,RS,2.575,3
3482,24.0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Ilhéus,BA,2.982,4
3483,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,3.961,5
3484,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Limoeiro do Norte,CE,3.003,4
3485,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Quixadá,CE,2.044,3
3486,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,1.949,3
3487,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Alagoinhas,BA,2.477,3
3488,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Jacobina,BA,1.846,2
3489,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Santo Antônio de Jesus,BA,2.409,3
3490,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Caetité,BA,2.404,3
3491,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Teixeira de Freitas,BA,2.395,3
3492,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Conceição do Coité,BA,2.077,3
3493,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Eunápolis,BA,0.717,1
3495,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Salvador,BA,1.589,2
3496,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Salvador,BA,3.862,4
3497,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Florianópolis,SC,3.828,4
3498,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Florianópolis,SC,3.521,4
3499,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Anápolis,GO,3.177,4
3500,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Goiás,GO,2.224,3
3501,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Porangatu,GO,1.023,2
3502,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Pires do Rio,GO,1.045,2
3503,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Itapuranga,GO,0.779,1
3504,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Goianésia,GO,1.265,2
3505,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Quirinópolis,GO,2.102,3
3506,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Iporá,GO,1.529,2
3507,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Formosa,GO,2.483,3
3508,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Morrinhos,GO,1.196,2
3509,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Uruaçu,GO,1.783,2
3510,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Anápolis,GO,1.078,2
3511,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,5.0,5
3512,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.834,5
3513,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Franca,SP,3.86,4
3514,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Assis,SP,3.661,4
3515,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Franca,SP,3.158,4
3516,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,3.604,4
3517,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,1.608,2
3518,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Ivaiporã,PR,1.007,2
3519,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Mossoró,RN,2.912,3
3520,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Açu,RN,2.026,3
3521,72.0,FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,Palmares,PE,1.419,2
3522,73.0,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,Arcoverde,PE,1.076,2
3523,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Blumenau,SC,3.717,4
3524,81.0,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Joinville,SC,4.192,5
3525,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Itajaí,SC,4.265,5
3526,95.0,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Sobral,CE,2.368,3
3527,107.0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,São João del Rei,MG,4.563,5
3528,107.0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,São João del Rei,MG,3.581,4
3529,125.0,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Araras,SP,1.087,2
3530,135.0,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,2.265,3
3531,137.0,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,UNISAGRADO,Bauru,SP,2.971,4
3532,138.0,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Ribeirão Preto,SP,2.93,3
3533,143.0,UNIVERSIDADE DE UBERABA,UNIUBE,Uberaba,MG,1.514,2
3534,143.0,UNIVERSIDADE DE UBERABA,UNIUBE,Uberaba,MG,2.435,3
3535,150.0,UNIVERSIDADE DE SOROCABA,UNISO,Sorocaba,SP,3.145,4
3536,161.0,CENTRO UNIVERSITÁRIO ASSUNÇÃO,UNIFAI,São Paulo,SP,3.095,4
3537,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,3.183,4
3538,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.717,3
3539,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.324,3
3540,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,São Gonçalo,RJ,2.357,3
3541,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Cabo Frio,RJ,1.038,2
3542,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,1.74,2
3543,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,0.968,2
3544,165.0,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Rio de Janeiro,RJ,2.871,3
